Designator,Mid X,Mid Y,Layer,Rotation
BOOT, 1.57, 4.83,Top,270.0
C1, 5.13, 9.65,Top,270.0
C2, 7.17, 9.65,Top,270.0
C3,11.53, 9.65,Top,90.0
C4,18.69, 3.68,Top,90.0
C5,11.68, 3.68,Top,90.0
ESP-12,12.70,24.14,Top,270.0
FLASH,23.83, 4.83,Top,90.0
LDO,15.11, 3.68,Top,0.0
Q1, 7.16, 4.45,Top,90.0
R1, 9.20, 9.65,Top,90.0
R2,13.86, 9.65,Top,90.0
R3,18.52, 9.65,Top,90.0
R4,16.19, 9.65,Top,90.0
R5,20.83, 9.65,Top,270.0
R6,20.35, 6.65,Top,180.0
R7, 1.42, 9.30,Top,180.0
R8, 1.42, 8.26,Top,0.0
R9, 7.14, 6.48,Top,0.0
R10, 7.14, 2.26,Top,180.0
